*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=etobi-shield
*Date=23:08:30
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;43.4086;-31.7811;0;Bottom;Copper Fill36
2;;;50.3301;-27.3362;0;Bottom;Copper Fill76
3;;;38.9001;-50.9835;0;Bottom;Copper Fill160
4;;;20.8534;-15.195;0;Bottom;Copper Fill145
5;;;2.35488;-42.8909;90;Bottom;TXT1
6;;;42.7101;-27.3362;0;Bottom;Copper Fill150
7;;;21.1201;-1.5298;0;Bottom;Copper Fill112
8;;;31.2801;-31.9589;0;Bottom;Copper Fill50
9;;;20.5486;-47.4021;0;Bottom;Copper Fill18
10;;THT;52.9291;-21.3542;90;Bottom;CH3
11;;;5.51179;-32.8352;0;Bottom;Copper Fill192
12;;;27.6225;-3.2062;0;Bottom;Copper Fill115
13;;;60.4901;-47.6561;0;Bottom;Copper Fill173
14;47k;THT;52.9291;-31.5142;-90;Bottom;R16
15;;[THT];54.9091;-4.55441;0;Bottom;B4 (25)
16;;;31.9786;-48.6467;0;Bottom;Copper Fill20
17;;;55.4101;-27.3362;0;Bottom;Copper Fill78
18;;;34.2392;-11.2453;0;Bottom;Copper Fill183
19;;;55.4736;-53.0917;0;Bottom;Copper Fill12
20;;;45.2501;-27.3362;0;Bottom;Copper Fill59
21;;;58.1914;-19.8686;0;Bottom;Copper Fill48
22;;THT;5.6851;-37.9912;0;Bottom;1wire (4)
23;47k;THT;50.3891;-31.5142;-90;Bottom;R15
24;;THT;9.77732;-25.1642;0;Bottom;1wire
25;;;4.21639;-22.6753;0;Bottom;Copper Fill198
26;;;12.2936;-53.0917;0;Bottom;Copper Fill3
27;;THT;45.3091;-13.7342;90;Bottom;CH0
28;;;52.8701;-25.6598;0;Bottom;Copper Fill186
29;;;40.2336;-53.0917;0;Bottom;Copper Fill6
30;;;9.75359;-53.0917;0;Bottom;Copper Fill118
31;330;THT;30.0691;-18.8142;0;Bottom;R5
32;;;32.1564;-35.3752;0;Bottom;Copper Fill53
33;;;3.39089;-21.8498;0;Bottom;Copper Fill89
34;;;23.0886;-44.8621;0;Bottom;Copper Fill22
35;;;42.7101;-27.3362;0;Bottom;Copper Fill54
36;;;47.0916;-2.3553;0;Bottom;Copper Fill217
37;;;41.4401;-1.5298;0;Bottom;Copper Fill99
38;;;3.59666;-52.6809;0;Bottom;Hole2
39;;;14.8336;-53.0917;0;Bottom;Copper Fill4
40;;THT;52.9291;-13.7342;90;Bottom;CH2
41;;;6.57859;-26.3456;0;Bottom;Copper Fill41
42;;;57.5818;-51.8852;0;Bottom;Copper Fill166
43;;;51.5874;-19.8686;0;Bottom;Copper Fill46
44;;;52.8701;-25.6598;0;Bottom;Copper Fill80
45;;;47.7901;-45.9797;0;Bottom;Copper Fill177
46;;;36.9316;-2.3553;0;Bottom;Copper Fill201
47;;[THT];34.5891;-4.55441;0;Bottom;B2 (22)
48;;;21.8186;-46.1321;0;Bottom;Copper Fill21
49;;;35.941;-11.2453;0;Bottom;Copper Fill184
50;;;19.9136;-53.0917;0;Bottom;Copper Fill122
51;47k;THT;42.7691;-31.5142;-90;Bottom;R1
52;;;27.6225;-1.5298;0;Bottom;Copper Fill223
53;;;3.70839;-32.8352;0;Bottom;Copper Fill191
54;;;20.2692;-2.3553;0;Bottom;Copper Fill220
55;;;55.4101;-25.6598;0;Bottom;Copper Fill188
56;;;52.8701;-27.3362;0;Bottom;Copper Fill79
57;;;55.7022;-18.5224;0;Bottom;Copper Fill47
58;;;47.8536;-53.0917;0;Bottom;Copper Fill133
59;;THT;60.5491;-21.3542;90;Bottom;CH5
60;;;46.5836;-31.5017;0;Bottom;Copper Fill37
61;;;54.8386;-31.7811;0;Bottom;Copper Fill40
62;;;56.6801;-50.9835;0;Bottom;Copper Fill165
63;;;23.6083;-38.1675;90;Bottom;TXT1
64;;;37.7825;-3.2062;0;Bottom;Copper Fill199
65;;;31.2801;-3.2062;0;Bottom;Copper Fill202
66;;;47.7901;-47.6561;0;Bottom;Copper Fill176
67;;;12.2936;-53.0917;0;Bottom;Copper Fill119
68;;;51.1048;-38.6645;0;Bottom;Copper Fill42
69;;;21.6965;-26.3849;0;Bottom;TXT2
70;330;THT;30.0691;-11.1942;0;Bottom;R6
71;;;2.54;-22.6753;0;Bottom;Copper Fill197
72;;;2.54;-22.6753;0;Bottom;Copper Fill90
73;47k;THT;55.4691;-31.5142;-90;Bottom;R10
74;;;35.0901;-10.4198;0;Bottom;Copper Fill81
75;;;57.2516;-2.3553;0;Bottom;Copper Fill106
76;;;47.9425;-1.5298;0;Bottom;Copper Fill109
77;;;9.74089;-21.799;0;Bottom;Copper Fill86
78;;;31.2801;-1.5298;0;Bottom;Copper Fill203
79;;;7.20909;-35.3242;0;Bottom;Via2
80;;;57.2516;-2.3553;0;Bottom;Copper Fill213
81;;;60.4901;-47.6561;0;Bottom;Copper Fill71
82;;;61.8191;-10.418;90;Bottom;TXT1
83;;;14.478;-49.4087;0;Bottom;Copper Fill137
84;;;42.291;-2.3553;0;Bottom;Copper Fill100
85;;;35.0901;-10.4198;0;Bottom;Copper Fill182
86;;;47.9425;-3.2062;0;Bottom;Copper Fill108
87;;;31.2801;-3.2062;0;Bottom;Copper Fill92
88;;;32.131;-2.3553;0;Bottom;Copper Fill204
89;;;27.6225;-3.2062;0;Bottom;Copper Fill222
90;;;47.8536;-53.0917;0;Bottom;Copper Fill9
91;;;17.3736;-53.0917;0;Bottom;Copper Fill121
92;;;32.1564;-35.3752;0;Bottom;Copper Fill154
93;;;43.9674;-19.8686;0;Bottom;Copper Fill44
94;;;45.2501;-25.6598;0;Bottom;Copper Fill159
